CriticID,CriticDescription,PersonID
19,Hayley struggles with her powers. Marcel sides with Klaus and gets revenge over the wolves. Esther is busy plotting her own plans. Everyone wants control over the city.,9
20,"Nathaniel appears as Kol in flashback whereas tensions between Elijah and Hayley grow, Klaus steps in and encourages her to regain her position within her werewolf pack. Mikael grows impatient under Davina's control while she attempts to uncover a spell that would protect those closest to her. Eljiah and Marcel work together to gather a vital piece of information. KLaus gets suspicious about Cassie.",10
21,"Diagnosed with terminal lung cancer, chemistry teacher Walter White teams up with his former student, Jesse Pinkman, to cook and sell crystal meth.",1
22,"After their first drug deal goes terribly wrong, Walt and Jesse are forced to deal with a corpse and a prisoner. Meanwhile, Skyler grows suspicious of Walt's activities.",2
23,"During their first drug deal with Tuco, Walt and Jesse realize how dire their situation is. They must come up with a plan to kill Tuco before Tuco kills them first.",3
24,Tuco takes Walt and Jesse prisoner.,4
25,"American astronaut Tony Nelson splashes down near a deserted island and finds a bottle that contains a beautiful genie named Jeannie. After helping him get rescued he sets her free, but she prefers to come home with him. Besides she is very much in love with her handsome master and she will grant his every wish or desire no matter how much trouble he gets in.",5
26,Jeannie blinks Tony to ancient Persia to defend her honor while Jeannie announces to her parents that this is the man she plans to marry.,6
27,On a survival mission Jeannie gives him every possible comfort.,7
28,"When Tony's future father-in-law is accepting an ambassadorship, he offers Tony a prestigious position if he leaves the Air Force.",8
29,"When Jeannie says she wants to be his secretary, Tony tells Jeannie that she has to join the Air Force.",9
30,"After Tony argues with Jeannie on a yacht and she blinks home, two witnesses think that he pushed her overboard and murdered her.",10
31,Jeannie sabotages Tony's tests prior to his launch because she doesn't want him breaking his tether on a spacewalk and being lost in space.,1
32,"After reading an article in a magazine, Jeannie tries to become the typical American woman.",2
33,"When Jeannie becomes jealous of Tony dating a movie star, she tries to become one but finds out that genies cannot be photographed.",3
34,Walt and Jesse try to come up with alibis for their disappearances.,4
35,Skyler keeps mysteriously leaving without talking to Walt. Jesse's parents throw him out of his own house.,5
36,"Walt and Jesse decide to start their own little empire with the help of Jesse's friends: Skinny Pete, Combo, and Badger. Meanwhile, Hank tries to pull himself together after his encounter with Tuco.",6
37,"After Skinny Pete gets ripped off, Walt makes Jesse go get the money. Meanwhile, Walt's cover story on how Elliott and Gretchen are paying for his medical treatment is on the verge of collapsing.",7
38,"Rumor is spreading that Jesse killed the man that ripped Skinny Pete off. Walt uses this to his advantage on expanding their territory. Meanwhile, Hank has been promoted to the El Paso office. But it's not all he hoped it would be.",8
39,"Badger is caught by the DEA. Walt and Jesse hire the best criminal lawyer in town, Saul Goodman.",9
40,Walt and Jesse become stranded out in the middle of the desert after cooking more crystal.,10
